,,,,,,
,,,,,,
DAILY  SERVICE REPORT,,,,,,
NAME OF THE FACIAL ,STEPS,AMOUNT,NET QUANTITY,QUANTITY PER FACIAL ,PER FACIAL COST,BILL PRICE
DAIMOND FACIAL,CLENSER ,750,500 GRAMS,10 GM,15,
,SCRUB,425,500GRAMS,10 GM ,8.5,
,SERUM,1400,400ML ,5 ML ,17.5,
,TONER ,250,1000 ML ,5 ML ,1.2,
,MASSAGE ,1500,500 GRAMS,15 GM,45,
,PACK,1750,500 GRAMS,15 GM,52.5,
,,,,,139.7,
,,,,,,
PEARL FACIAL ,CLENSER,500,500 GRAMS,10 GM,10,
,SCRUB,425,500 GRAMS,10 GM,8.5,
,TONER ,250,1000 ML ,5 ML,1.2,
,MASSAGE  ,950,500 GRAMS,15 GM,28.5,
,PACK ,1200,500 GRAMS,15 GM,36,
,POLISH,750,500 GRAMS,5 GM,7.5,
,,,,,91.7,
,,,,,,
NATUR'S PAPPAYA,CLENSER ,500,500 GRAMS,10 GM,10,
,SCRUB ,600,200 GRAMS,5 GM,15,
,SERUM,750,400 ML,10 ML,18.5,
,MASSAGE ,850,500 GRAMS,15 GM,25.5,
,PACK,1200,500 GRAMS,15 GM,36,
,,,,,105,
,,,,,,
WHITENING CLEANUP,CLENSER,850,4000 ML,15 ML,3.1,
,SCRUB ,410,800 GRAMS,10 GM,5.1,
,MASSAGE ,400,500 GRAMS,15 GM,12,
,TONER,250,1000 ML,5 ML,1.2,
,PACK,3000,1000 GRAMS,40 GM,120,
,ROSE WATER,280,5000 ML ,120 ML ,6,
,,,,,147.4,
,,,,,,
BASIC CLEANUP,CLENSER,850,4000 ML ,15 ML,3.1,
,SCRUB,410,800 GRAMS,10 GM,5.1,
,TONER,250,1000 ML ,5 ML,1.2,
,PACK,460,900 GRAMS,15 GM,7.6,
,,,,,17,
,,,,,,
HYDRAVITA CLEANUP,CLENSER,516,250 ML,10 GM ,20.5,
,SCRUB,581,260 GRAMS,10 GM ,22.5,
,TONER,484,250 ML ,5 ML ,9.5,
,MASSAGE ,633,250 GRAMS,15 GM,37,
,PACK,321,60 GRAMS,15 GM,80,
,,,,,169.5,
,,,,,,
PURAVITA CLEANUP,CLENSER,516,260 GRAMS,10 GM,19.5,
,SCRUB,549,300 GRAMS,10 GM,18,
,TONER,484,250 ML ,5 ML ,9.5,
,MASSAGE,633,300 GRAMS,15 GM,31,
,PACK ,321,60 GRAMS,15 GM,80,
,,,,,158,
,,,,,,
,,,,,,
GOLDSHEEN FACIAL,FACIAL KIT 1,2141,6 KIT,1 KIT,356,
,CLENSER ,516,260 GRAMS,10 GM,19.5,
,SCRUB,549,300 GRAMS,10 GM ,18,
,TONER ,484,250 ML ,5 ML,9.5,
,MASSAGE ,633,300 GRAMS,15 GM,31,
,,,,,434,
,,,,,,
INSTAFAIR FACIAL ,FACIAL KIT 1,1816,6 KIT ,1 KIT,302,
,CLENSER ,516,260 GRAMS,10 GM,19.5,
,SCRUB,549,300 GRAMS,10 GM ,18,
,TONER ,484,250 ML ,5 ML,9.5,
,MASSAGE ,633,300 GRAMS,15 GM,31,
,,,,,380,
,,,,,,
DIPIGMENTONE ,FACIAL KIT 1,1491,6 KIT,1 KIT,248,
,CLENSER ,516,260 GRAMS,10 GM,19.5,
,SCRUB,549,300 GRAMS,10 GM ,18,
,,,,,285.5,
,,,,,,
GLOWDERMI,FACIAL KIT 1,1296,6 KIT,1 KIT,216,
,CLENSER ,516,260 GRAMS,10 GM,19.5,
,SCRUB,549,300 GRAMS,10 GM ,18,
,MASSAGE ,633,300 GRAMS,15 GM,31,
,,,,,284.5,
,,,,,,
,,,,,,
ACNEX ,FACIAL KIT 1,1491,6 KIT ,1 KIT,248,
,CLENSER ,516,260 GRAMS,10 GM,19.5,
,SCRUB,549,300 GRAMS,10 GM ,18,
,TONER ,484,250 ML ,5 ML,9.5,
,,,,,295,
,,,,,,
PAPPAYA FACIAL ,FACIAL KIT 1 ,2401,5 KIT,1 KIT,480,
BEAR BERRY FACIAL ,FACIAL KIT 1 ,2466,5 KIT ,1 KIT,493,
VINO GRAPES FACILA,FACIAL KIT 1 ,2401,5 KIT,1 KIT,480,
PINE APPLE,FACIAL KIT 1 ,2401,5 KIT,1 KIT,480,
KIWI FACIAL,FACIAL KIT 1 ,2466,5 KIT,1 KIT,493,
ULTIMA PEARL FACIAL,FACIAL KIT 1 ,3766,5 KIT ,1 KIT,753,
RETAMIN YOUTH BRIGHTEING FACIAL,FACIAL KIT 1 ,2710,6 KIT,1 KIT,451,
