,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DATE,HAIR CUT ,BEARD,HAIR CUT BEARD,FEMALE H/C,BLOWDRY,MEN COLOUR,BEARD COLOUR,HAIR WASH,CHILD H/C,H/MSG,H/SPA,EYEBROW,FACIAL,D TAN,WAX,P/C,M/C,FEMALE H/SPA,H/MSG,CLEAN UP ,FOOT MSG,ROOT TUCH UP,FE COLOUR,IRONING,NAIL CUT,INSTA TREATMENT,SAREE DRAPING,BOTOX
,1-Jul-2025,5,2,1,2,1,,,,,,,4,,,1,,,,,,,,,,,,1,
,2-Jul-2025,3,2,10,9,,1,1,,6,,,10,1,1,1,1,1,1,,,,,,,,,,2
,3-Jul-2025,1,2,7,4,,,,,2,,,8,,2,1,,,,,,,,,,,,,
,4-Jul-2025,5,2,3,2,1,,,,,1,,10,,,5,,,,,2,,,,,,,,
,5-Jul-2025,11,,9,10,1,1,,,6,1,,12,3,2,1,1,,,,2,,,,,,,,
,6-Jul-2025,11,6,19,6,1,,,,12,5,1,11,1,4,3,2,,2,,2,,,,,,,,2
,7-Jul-2025,8,,7,4,1,2,,,4,,,7,,,2,,,2,,,,,1,,,,,1
,8-Jul-2025,2,1,5,3,3,,,,,,,3,,1,1,1,,1,,,,,1,,,,,
,9-Jul-2025,10,2,10,7,1,2,,,2,,,9,2,3,3,,,3,,1,,3,,,,,,3
,10-Jul-2025,3,1,8,1,3,,,,,2,,7,,2,3,1,,1,,1,,,,,,,,
,11-Jul-2025,4,1,7,1,1,1,,,1,1,,10,,,1,3,,,,,,1,,1,,,,
,12-Jul-2025,6,1,11,6,1,1,1,,1,,,8,1,1,3,,,,,1,,,1,,,,,
,13-Jul-2025,11,3,11,9,1,1,,,9,2,2,17,2,1,3,1,1,,,4,,1,1,,,,,1
,14-Jul-2025,6,1,8,4,1,1,,,2,1,,8,,1,1,4,,1,1,,,,1,,3,,,
,15-Jul-2025,2,1,5,4,,,,3,,1,,6,3,,2,1,1,1,,,,,,,,,,
,16-Jul-2025,6,1,4,5,,1,,,2,1,1,14,,1,3,,,1,,3,,,,,,,,
,17-Jul-2025,1,,5,1,,1,1,,1,1,1,4,3,2,1,1,,1,,3,,1,,,1,,,1
,18-Jul-2025,2,,2,4,,,,1,,1,,6,,,3,,,,1,,,,,,,1,,
,19-Jul-2025,10,,6,10,2,,,,5,2,,10,2,1,3,,,,1,,,1,1,,,,,
,20-Jul-2025,9,5,12,8,,2,,1,11,2,2,10,2,3,3,2,,,,1,,,,,,,,
,21-Jul-2025,7,1,12,3,1,,,1,,2,1,8,1,,2,1,,,,,,,1,,,,,
,22-Jul-2025,2,1,1,2,,,,,1,,,5,3,1,1,4,1,1,,1,,,,,1,,,
,23-Jul-2025,13,1,8,5,,3,,,2,1,2,7,1,,2,1,,,,1,,2,1,,,,,
,24-Jul-2025,2,,4,,,,,,,,,3,1,1,1,,1,,,,,1,,,,1,,
,25-Jul-2025,2,1,3,2,1,,,,,,,9,1,1,2,,,2,,1,,2,,,,,,1
,26-Jul-2025,7,,9,5,3,1,,1,6,1,,11,2,1,5,,,1,,1,,1,1,,,,,
,27-Jul-2025,8,2,10,8,1,,,1,10,,,18,,2,2,,,,1,1,,,,,1,,,
,28-Jul-2025,2,3,7,4,,1,,,1,1,,6,5,4,2,,,2,,2,,,1,,,,,
,29-Jul-2025,1,,3,1,,1,1,,,,,3,,1,1,2,2,,,1,,,1,,,,,
,30-Jul-2025,7,2,13,2,,1,,,4,,2,6,3,3,1,1,,1,,1,,1,,,,,,
,31-Jul-2025,4,2,5,2,,,,,1,,,9,2,2,1,2,1,,,,,,,,,,,
,TOTAL,171,44,225,134,24,21,4,8,89,26,12,259,39,41,64,29,8,21,4,29,,,11,,,2,1,11
